iter	Passed	Remaining
428	1734	2308
429	1737	2303
430	1741	2298
431	1744	2293
432	1747	2288
433	1751	2284
434	1754	2279
435	1758	2274
436	1761	2269
437	1764	2263
438	1768	2259
439	1771	2254
440	1774	2249
441	1777	2244
442	1781	2240
443	1784	2235
444	1788	2230
445	1791	2224
446	1794	2219
447	1797	2215
448	1801	2210
449	1805	2206
450	1808	2201
451	1811	2196
452	1815	2191
453	1818	2186
454	1821	2181
455	1824	2177
456	1828	2173
457	1832	2168
458	1836	2164
459	1839	2159
460	1843	2154
461	1846	2150
462	1849	2145
463	1853	2141
464	1856	2136
465	1860	2132
466	1863	2127
467	1867	2122
468	1870	2117
469	1874	2113
470	1877	2108
471	1880	2104
472	1884	2099
473	1887	2094
474	1890	2089
475	1894	2086
476	1898	2081
477	1901	2076
478	1904	2071
479	1908	2067
480	1912	2063
481	1915	2058
482	1918	2053
483	1921	2049
484	1924	2044
485	1928	2039
486	1932	2035
487	1935	2030
488	1938	2025
489	1942	2021
490	1946	2017
491	1949	2012
492	1952	2008
493	1955	2003
494	1960	2000
495	1963	1995
496	1967	1990
497	1970	1986
498	1973	1981
499	1976	1976
500	1980	1972
501	1983	1967
502	1986	1963
503	1990	1959
504	1994	1955
505	1998	1950
506	2001	1946
507	2005	1941
508	2008	1937
509	2011	1933
510	2015	1928
511	2019	1924
512	2022	1920
513	2026	1915
514	2029	1911
515	2032	1906
516	2036	1902
517	2040	1898
518	2044	1894
519	2047	1890
520	2052	1887
521	2056	1883
522	2060	1879
523	2064	1875
524	2068	1871
525	2072	1867
526	2076	1863
527	2079	1858
528	2083	1854
529	2087	1850
530	2090	1846
531	2093	1841
532	2097	1837
533	2100	1832
534	2103	1828
535	2107	1824
536	2110	1819
537	2113	1815
538	2116	1810
539	2120	1806
540	2124	1802
541	2127	1797
542	2130	1793
543	2134	1788
544	2137	1784
545	2140	1779
546	2143	1775
547	2146	1770
548	2150	1766
549	2153	1761
550	2156	1757
551	2159	1752
552	2163	1748
553	2166	1744
554	2170	1740
555	2173	1735
556	2176	1730
557	2179	1726
558	2183	1722
559	2186	1717
560	2189	1713
561	2192	1708
562	2195	1704
563	2199	1700
564	2202	1695
565	2205	1691
566	2208	1686
567	2211	1682
568	2215	1677
569	2218	1673
570	2221	1668
571	2225	1665
572	2228	1660
573	2231	1656
574	2234	1651
575	2237	1647
576	2240	1642
577	2244	1638
578	2247	1634
579	2251	1630
580	2254	1625
581	2258	1621
582	2261	1617
583	2265	1613
584	2268	1609
585	2272	1605
586	2275	1601
587	2279	1597
588	2283	1593
589	2286	1588
590	2289	1584
591	2292	1580
592	2295	1575
593	2298	1571
594	2302	1567
595	2306	1563
596	2309	1558
597	2311	1554
598	2314	1549
599	2317	1545
600	2321	1540
601	2324	1536
602	2327	1532
603	2331	1528
604	2334	1524
605	2337	1519
606	2341	1516
607	2345	1512
608	2348	1508
609	2352	1503
610	2355	1499
611	2358	1495
612	2361	1491
613	2365	1486
614	2368	1482
615	2372	1479
616	2376	1475
617	2380	1471
618	2383	1466
619	2386	1462
620	2390	1458
621	2393	1454
622	2396	1450
623	2400	1446
624	2403	1441
625	2406	1437
626	2410	1433
627	2413	1429
628	2416	1425
629	2420	1421
630	2423	1417
631	2426	1412
632	2429	1408
633	2432	1404
634	2436	1400
635	2439	1396
636	2443	1392
637	2446	1388
638	2449	1383
639	2452	1379
640	2455	1375
641	2459	1371
642	2462	1367
643	2466	1363
644	2469	1359
645	2472	1354
646	2475	1350
647	2478	1346
648	2481	1341
649	2484	1337
650	2487	1333
651	2490	1329
652	2493	1325
653	2497	1321
654	2500	1317
655	2503	1312
656	2506	1308
657	2509	1304
658	2512	1300
659	2515	1295
660	2519	1291
661	2522	1287
662	2525	1283
663	2528	1279
664	2531	1275
665	2535	1271
666	2538	1267
667	2541	1263
668	2545	1259
669	2548	1255
670	2551	1251
671	2555	1247
672	2558	1242
673	2561	1238
674	2564	1234
675	2568	1230
676	2571	1226
677	2574	1222
678	2578	1218
679	2581	1214
680	2585	1211
681	2588	1207
682	2591	1202
683	2595	1198
684	2598	1194
685	2601	1190
686	2604	1186
687	2608	1182
688	2611	1178
689	2614	1174
690	2617	1170
691	2620	1166
692	2624	1162
693	2627	1158
694	2630	1154
695	2633	1150
696	2636	1146
697	2640	1142
698	2643	1138
699	2646	1134
700	2649	1130
701	2652	1125
702	2655	1121
703	2659	1118
704	2662	1114
705	2666	1110
706	2669	1106
707	2672	1102
708	2675	1098
709	2679	1094
710	2682	1090
711	2685	1086
712	2689	1082
713	2692	1078
714	2695	1074
715	2698	1070
716	2701	1066
717	2704	1062
718	2707	1058
719	2711	1054
720	2714	1050
721	2717	1046
722	2720	1042
723	2724	1038
724	2727	1034
725	2730	1030
726	2733	1026
727	2736	1022
728	2739	1018
